,Gini
0,0.0
1,0.3546
2,0.4968
3,0.4766
4,0.5422
5,0.5494
6,0.5598000000000001
7,0.5638000000000001
8,0.5566
9,0.5646
10,0.5704
11,0.5762
12,0.5973999999999999
13,0.5953999999999999
14,0.597
15,0.6002000000000001
16,0.6088
17,0.6222000000000001
18,0.6402
19,0.6566000000000001
20,0.6612
21,0.6448
22,0.637
23,0.6394
24,0.6517999999999999
25,0.6778
26,0.6628000000000001
27,0.6606000000000001
28,0.6604
29,0.6556
30,0.652
31,0.6568
32,0.6552
33,0.6486000000000001
34,0.664
35,0.6794
36,0.6752
37,0.6437999999999999
38,0.649
39,0.6172
40,0.6382
41,0.6274
42,0.6328
43,0.6366
44,0.595
45,0.612
46,0.6428
47,0.6592
48,0.65
49,0.6246
50,0.6246
51,0.6384000000000001
52,0.6292
53,0.6658
54,0.6742
55,0.6688000000000001
56,0.6586000000000001
57,0.6624
58,0.6596
59,0.6574
60,0.6394
61,0.6382
62,0.6434
63,0.6388
64,0.611
65,0.63
66,0.6076
67,0.6568
68,0.622
69,0.622
70,0.5960000000000001
71,0.5722
72,0.6322
73,0.6178
74,0.634
75,0.6586000000000001
76,0.667
77,0.643
78,0.6662
79,0.649
80,0.6516
81,0.6342
82,0.6312
83,0.6268
84,0.6142000000000001
85,0.5962000000000001
86,0.6255999999999999
87,0.6058
88,0.6134
89,0.5754
90,0.5504
91,0.5306
92,0.558
93,0.585
94,0.6156
95,0.5942000000000001
96,0.6073999999999999
97,0.6098
98,0.5988
99,0.6188
